Page,Title,Description,Link,Contributor,Date
1,"Jeremiah the cat,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.jeremiahcat00culp/&q=cats&st=gallery,"Culp, William Maurice",: 1939
1,"Sooty, an aristocratic cat,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.sootyaristocrati00hurc/&q=cats&st=gallery,"Hurcum, Ambrosina",: 1935
1,Cat tales in verse.,Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.cattalesinverse00walk/&q=cats&st=gallery,"Walker, Elliot",: 1900
2,Yard of cats,"Photo, Print, Drawing",https://www.loc.gov/item/2018757354/,"Walker, Elliot",: 1895
2,Yard of cats,"Photo, Print, Drawing",https://www.loc.gov/item/2018694858/,"Walker, Elliot",: 1893
2,The cat - Felis domesticus,"Photo, Print, Drawing",https://www.loc.gov/item/2017660723/,L. Prang & Co.,: 1872
2,The black cat,"Photo, Print, Drawing",https://www.loc.gov/item/93509663/,"Beardsley, Aubrey",: 1901
2,[Mother cat and kittens],"Photo, Print, Drawing",https://www.loc.gov/item/2013646722/,"Anderson, Alexander",: 1810
2,Cat and kittens,"Photo, Print, Drawing",https://www.loc.gov/item/2017650796/,"Ronner, Henriette - Schaus, W. (William)",: 1867
2,"The Black Cat, December","Photo, Print, Drawing",https://www.loc.gov/item/2015647209/,"Ronner, Henriette - Schaus, W. (William)",: 1890
2,Treatise on Cats.,Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcwdl.wdl_14291/&q=cats&st=gallery,"Ronner, Henriette - Schaus, W. (William)",: 1800
2,[Two domestic cats fighting],"Photo, Print, Drawing",https://www.loc.gov/item/2012645546/,"Brodtmann, Joseph - Mind, Gottfried",: 1820
2,[College girl walking cats],"Photo, Print, Drawing",https://www.loc.gov/item/2018757284/,"Brodtmann, Joseph - Mind, Gottfried",: 1905
2,"[Cat, curled up]","Photo, Print, Drawing",https://www.loc.gov/item/2010718354/,"Stephens, Alice Barber",: 1870
2,Sketches from cat life,"Photo, Print, Drawing",https://www.loc.gov/item/2010718276/,"Stephens, Alice Barber",: 1885
2,Hon[orable Mr] cat,"Photo, Print, Drawing",https://www.loc.gov/item/2003675444/,"Hyde, Helen",: 1903
2,"Cats posed in pots
                
            
        

        
        
        
        

        

        


        
        
            
            Catalog Record - Electronic Resource Available",Collection,//lccn.loc.gov/2006678567,"Lyman, Frank",: 1871
2,Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736291/,"Gotfryd, Bernard",: 1984
2,Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736862/,"Gotfryd, Bernard",: 1984
2,Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736863/,"Gotfryd, Bernard",: 1984
2,Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736864/,"Gotfryd, Bernard",: 1984
2,"Schermerhorn cat, portrait photograph","Photo, Print, Drawing",https://www.loc.gov/item/2018715869/,"Genthe, Arnold",: 1928
2,Study of a cat,"Photo, Print, Drawing",https://www.loc.gov/item/00652567/,"Genthe, Arnold",: 1910
2,[Black cat in garden],"Photo, Print, Drawing",https://www.loc.gov/item/2005693005/,"Steig, William",: 1960
2,"Clicker training for cats /
                
            
        

        
        
        
        

        

        


        
        
            
            Catalog Record - Electronic Resource Available",Book/Printed Material,//lccn.loc.gov/2001117576,"Pryor, Karen",: 2001
2,Cats at play,"Photo, Print, Drawing",https://www.loc.gov/item/2016796356/,"Lambert, Louis-Eugene - Glover, L. S. (Lycurgus S.) - Detroit Publishing Co.",: 1900
2,[Cats at play],"Photo, Print, Drawing",https://www.loc.gov/item/2016796873/,"Lambert, Lewis Eugene - Detroit Publishing Co.",: 1900
2,"Cat Island, July 1935","Photo, Print, Drawing",https://www.loc.gov/item/2007660208/,"Lomax, Alan",: 1935
